Name,state,summit_elev,vertical_drop,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,cluster
Alyeska Resort,Alaska,3939,7.824445930877619,1,0.0,0,2,2,0,0,2,7,4.343805421853684,1.0986122886681098,0.6931471805599453,7.384610383176974,4.736198448394496,150.0,4.110873864173311,6.507277712385012,65.0,85.0,150.0,6.311734809152915,2
Eaglecrest Ski Area,Alaska,2600,7.340186835320115,0,0.0,0,0,0,0,4,0,4,3.6109179126442243,0.6931471805599453,1.0986122886681098,6.46302945692067,4.110873864173311,45.0,3.8066624897703196,5.860786223465865,47.0,53.0,90.0,0.0,0
Hilltop Ski Area,Alaska,2090,5.68697535633982,0,0.0,0,0,0,1,0,2,3,2.6390573296152584,0.6931471805599453,0.6931471805599453,3.4339872044851463,3.4339872044851463,150.0,3.6109179126442243,4.248495242049359,30.0,34.0,152.0,3.4339872044851463,0
Arizona Snowbowl,Arizona,11500,7.741099090035366,0,0.0,1,0,2,2,1,2,8,4.02535169073515,1.6094379124341003,1.0986122886681098,6.656726524178391,4.653960350157523,122.0,4.406719247264253,5.564520407322694,89.0,89.0,122.0,0.0,3
Sunrise Park Resort,Arizona,11100,7.496097345175956,0,0.0,0,1,2,3,1,0,7,4.189654742026425,1.0986122886681098,0.7884573603642703,6.68586094706836,4.394449154672439,115.0,3.912023005428146,5.5254529391317835,74.0,78.0,104.0,4.394449154672439,3
Yosemite Ski & Snowboard Area,California,7800,6.398594934535208,0,0.0,0,0,0,1,3,1,5,2.3978952727983707,1.0986122886681098,0.3364722366212129,4.48863636973214,0.0,110.0,4.442651256490317,5.707110264748875,47.0,47.0,107.0,0.0,1
Bear Mountain,California,8805,7.418180822726788,0,0.0,0,2,1,2,3,4,12,3.332204510175204,2.70805020110221,0.9162907318741551,5.293304824724492,5.293304824724492,122.0,4.343805421853684,4.61512051684126,57.91695652173913,47.0,130.0,0.0,1
Bear Valley,California,8500,7.550135342488429,0,0.0,1,1,0,2,4,2,10,4.219507705176107,1.0986122886681098,0.7884573603642703,7.427144133408616,4.61512051684126,165.0,3.970291913552122,5.886104031450156,57.91695652173913,47.0,151.0,0.0,1
Boreal Mountain Resort,California,7700,6.2166061010848646,0,0.0,0,1,1,3,1,2,8,3.5263605246161616,1.9459101490553132,0.6931471805599453,5.942799375126701,5.303304908059076,150.0,4.007333185232471,5.993961427306569,49.0,47.0,150.0,5.303304908059076,1
Dodge Ridge,California,8200,7.3783837129967145,0,0.0,0,0,1,2,5,4,12,4.219507705176107,1.791759469228055,1.0986122886681098,6.760414691083428,0.0,115.10394265232976,4.248495242049359,5.860786223465865,78.0,78.0,140.0,0.0,1
Donner Ski Ranch,California,8012,6.621405651764134,0,0.0,0,0,0,1,5,2,8,3.970291913552122,1.0986122886681098,0.9162907318741551,6.226536669287466,4.110873864173311,163.0,4.418840607796598,5.993961427306569,75.0,75.0,170.0,0.0,1
Heavenly Mountain Resort,California,10067,8.160803920954665,2,0.0,2,7,1,5,3,8,28,4.584967478670572,1.3862943611198906,1.8718021769015913,8.476579508530941,4.465908118654584,155.0,4.174387269895637,5.8888779583328805,57.91695652173913,75.0,157.0,0.0,3
June Mountain,California,10090,7.85979918056211,0,0.0,0,2,0,0,4,1,7,3.7376696182833684,1.0986122886681098,1.0986122886681098,7.313886831633462,0.0,115.10394265232976,4.07753744390572,5.5254529391317835,57.91695652173913,75.0,128.0,0.0,3
Kirkwood,California,9800,7.601402334583733,0,0.0,0,2,1,5,1,3,12,4.454347296253507,1.0986122886681098,1.252762968495368,7.741099090035366,5.303304908059076,200.0,3.871201010907891,5.872117789475416,57.91695652173913,75.0,167.0,0.0,3
Mammoth Mountain Ski Area,California,11053,8.03947991910045,3,0.0,2,9,1,6,4,0,25,5.043425116919247,2.0794415416798357,1.3862943611198906,8.160803920954665,6.55250788703459,243.0,4.204692619390966,5.993961427306569,149.0,159.0,120.0530035335689,0.0,3
Mt. Shasta Ski Park,California,6890,7.269616749608169,0,0.0,0,0,0,3,0,1,4,3.4965075614664802,1.0986122886681098,0.7419373447293773,6.054439346269371,5.420534999272286,140.0,3.5553480614894135,5.707110264748875,49.0,59.0,130.0,0.0,1
Mountain High,California,8200,7.3783837129967145,0,0.0,0,2,2,2,5,3,14,4.0943445622221,0.6931471805599453,0.9555114450274363,5.673323267171493,5.62040086571715,118.0,4.564348191467836,4.6913478822291435,84.0,84.0,150.0,4.30406509320417,1
Mt. Baldy,California,8600,7.650168700845001,0,0.0,0,0,0,0,4,0,4,3.295836866004329,0.0,1.252762968495368,5.993961427306569,4.394449154672439,175.0,4.219507705176107,5.187385805840755,69.0,69.0,200.0,0.0,1
Northstar California,California,8610,7.732369222284388,2,0.0,1,7,1,2,0,7,20,4.61512051684126,2.302585092994046,0.8754687373538999,8.061802274538348,4.465908118654584,135.0,3.871201010907891,5.860786223465865,57.91695652173913,69.0,150.0,0.0,1
Sierra-at-Tahoe,California,8852,7.70210434005105,0,0.0,0,3,0,1,5,5,14,3.8501476017100584,1.9459101490553132,1.252762968495368,7.601402334583733,5.303304908059076,160.0,4.30406509320417,6.133398042996649,99.0,69.0,144.0,0.0,1
Ski China Peak,California,8709,7.426549072397305,0,0.0,0,0,1,4,2,4,11,3.828641396489095,0.6931471805599453,1.1631508098056809,7.244941546337007,5.017279836814924,140.0,4.143134726391533,5.707110264748875,83.0,83.0,144.0,0.0,1
Snow Summit,California,8200,7.0909098220799835,0,0.0,0,2,0,4,5,5,16,3.332204510175204,1.9459101490553132,0.7884573603642703,5.484796933490655,5.484796933490655,115.10394265232976,4.219507705176107,4.61512051684126,57.91695652173913,83.0,130.0,5.017279836814924,1
Snow Valley,California,7841,6.948897222313312,0,0.0,0,0,0,5,6,1,12,3.367295829986474,1.9459101490553132,0.7884573603642703,5.484796933490655,5.241747015059643,111.0,4.418840607796598,5.081404364984463,69.0,79.0,143.0,5.10594547390058,1
Soda Springs,California,7352,6.481577129276431,0,0.0,0,0,0,1,1,2,4,2.9444389791664403,0.0,0.3364722366212129,5.303304908059076,3.044522437723423,150.0,4.430816798843313,5.993961427306569,50.0,50.0,144.0,0.0,1
Sugar Bowl Resort,California,8383,7.313886831633462,1,0.0,0,5,3,1,0,2,12,4.663439094112067,1.3862943611198906,1.3862943611198906,7.409136443920128,5.929589143389895,151.0,4.394449154672439,6.2166061010848646,125.0,125.0,150.0,0.0,1
Tahoe Donner,California,7350,6.398594934535208,0,0.0,0,0,1,1,0,3,5,2.70805020110221,1.0986122886681098,0.6931471805599453,4.795790545596741,0.0,150.0,3.8918202981106265,5.993961427306569,69.0,69.0,144.0,0.0,1
Arapahoe Basin Ski Area,Colorado,13050,7.836369760545124,0,0.0,0,1,2,1,2,3,9,4.983606621708336,1.3862943611198906,0.9162907318741551,7.264730177929867,4.836281906951478,230.0,4.30406509320417,5.860786223465865,85.0,85.0,233.0,0.0,3
Aspen / Snowmass,Colorado,12510,8.390949464841986,3,0.0,1,15,4,3,5,9,40,5.820082930352362,2.3978952727983707,1.840549633397487,8.615770754777232,6.490723534502507,138.0,4.290459441148391,5.707110264748875,179.0,179.0,138.0,0.0,3
Beaver Creek,Colorado,11440,8.114025442356757,2,0.0,0,11,0,1,1,9,24,5.017279836814924,1.3862943611198906,1.33500106673234,7.513709247839705,6.478509642208569,145.0,3.6888794541139363,5.780743515792329,57.91695652173913,179.0,138.0,0.0,3
Breckenridge,Colorado,12998,8.131236549696116,1,0.0,5,6,0,1,6,15,34,5.236441962829949,1.6094379124341003,1.5040773967762742,7.975564658495202,6.398594934535208,182.0,4.07753744390572,5.707110264748875,57.91695652173913,179.0,163.0,0.0,3
Copper Mountain Resort,Colorado,12313,7.915348169263078,1,0.0,2,4,0,4,4,9,24,5.017279836814924,1.9459101490553132,0.9932517730102834,7.8351837552667485,5.8998973535824915,164.0,3.871201010907891,5.707110264748875,158.0,158.0,164.0,0.0,3
Crested Butte Mountain Resort,Colorado,12162,8.027150106832774,0,0.0,0,4,2,2,1,5,14,4.804021044733257,1.6094379124341003,1.2809338454620642,7.344719054149673,5.697093486505405,145.0,4.07753744390572,5.459585514144159,57.91695652173913,158.0,131.0,0.0,3
Purgatory,Colorado,10822,7.615791072035833,0,0.0,1,2,0,3,3,3,12,4.624972813284271,2.302585092994046,0.8329091229351039,7.381501894506707,5.5254529391317835,130.0,4.007333185232471,5.564520407322694,89.0,89.0,130.0,0.0,3
Eldora Mountain Resort,Colorado,10600,7.244941546337007,0,0.0,1,0,2,1,3,3,10,4.189654742026425,2.1972245773362196,1.3862943611198906,6.523562306149512,6.523562306149512,147.0,4.060443010546419,5.7430031878094825,57.91695652173913,89.0,150.0,0.0,3
Howelsen Hill,Colorado,7136,6.089044875446846,0,0.0,0,0,0,0,1,3,4,2.8903717578961645,0.6931471805599453,1.9459101490553132,3.9318256327243257,3.258096538021482,100.0,4.653960350157523,5.017279836814924,25.0,25.0,100.0,2.3978952727983707,1
Keystone,Colorado,12408,8.048468743668883,2,0.0,2,4,1,1,2,8,20,4.859812404361672,0.6931471805599453,1.5040773967762742,8.054840221101024,6.4967749901858625,184.0,3.912023005428146,5.4638318050256105,57.91695652173913,25.0,120.0530035335689,5.666426688112432,3
Loveland,Colorado,13010,7.701200180857446,0,0.0,0,1,3,3,2,1,10,4.553876891600541,0.6931471805599453,1.0986122886681098,7.496097345175956,5.484796933490655,205.0,4.418840607796598,6.0473721790462776,79.0,79.0,184.0,0.0,3
Monarch Mountain,Colorado,11952,7.0587581525186645,0,0.0,0,0,1,0,4,2,7,4.174387269895637,1.0986122886681098,0.6931471805599453,6.68586094706836,0.0,143.0,4.394449154672439,5.860786223465865,89.0,89.0,136.0,0.0,3
Powderhorn,Colorado,9850,7.409136443920128,0,0.0,0,1,0,0,2,2,5,3.7612001156935624,1.0986122886681098,0.9162907318741551,7.3783837129967145,3.7612001156935624,111.0,3.9889840465642745,5.5254529391317835,71.0,71.0,110.0,0.0,3
Silverton Mountain,Colorado,13487,8.035278911144667,0,0.0,0,0,0,0,1,0,1,3.7612001156935624,0.0,0.9162907318741551,5.303304908059076,0.0,175.0,2.8903717578961645,5.993961427306569,79.0,79.0,181.0,0.0,3
Cooper,Colorado,11700,7.0909098220799835,0,0.0,0,0,0,1,1,2,4,3.7376696182833684,0.6931471805599453,0.6931471805599453,5.993961427306569,0.0,130.0,4.31748811353631,5.564520407322694,56.0,56.0,130.0,0.0,3
Ski Granby Ranch,Colorado,9202,6.90875477931522,0,0.0,0,2,0,1,1,1,5,3.713572066704308,0.6931471805599453,0.47000362924573563,6.008813185442595,5.14166355650266,116.0,3.6109179126442243,5.3981627015177525,84.0,84.0,92.0,4.61512051684126,1
Steamboat,Colorado,10568,8.207674424355282,1,0.0,1,6,0,5,2,3,18,5.135798437050262,1.6094379124341003,1.3862943611198906,7.994969522697877,5.929589143389895,145.0,4.04305126783455,5.820082930352362,57.91695652173913,84.0,145.0,3.4339872044851463,3
Sunlight Mountain Resort,Colorado,9895,7.606387389772652,0,0.0,0,0,0,1,2,0,3,4.219507705176107,0.6931471805599453,1.252762968495368,6.523562306149512,3.4339872044851463,100.0,3.9889840465642745,5.5254529391317835,65.0,65.0,135.0,0.0,3
Telluride,Colorado,13150,8.395251520610994,2,0.0,0,6,1,2,2,4,17,5.003946305945459,1.3862943611198906,1.7227665977411035,7.601402334583733,5.3981627015177525,131.0,3.871201010907891,5.638354669333745,139.0,139.0,137.0,0.0,3
Vail,Colorado,11570,8.146419323098003,2,0.0,3,15,1,1,0,9,31,5.278114659230517,1.3862943611198906,1.6094379124341003,8.573573524852344,6.135564891081739,149.0,4.060443010546419,5.872117789475416,57.91695652173913,139.0,142.0,0.0,3
Winter Park Resort,Colorado,12060,8.026496938945412,1,0.0,2,7,0,4,6,5,25,5.117993812416755,2.0794415416798357,1.7749523509116738,8.033334015880062,5.749392985908253,158.0,4.382026634673881,5.8888779583328805,57.91695652173913,139.0,151.0,0.0,3
Wolf Creek Ski Area,Colorado,11904,7.380879035564116,0,0.0,0,3,1,2,1,3,10,4.795790545596741,0.0,1.0986122886681098,7.3783837129967145,1.791759469228055,130.0,4.394449154672439,6.066108090103747,72.0,72.0,150.0,0.0,3
Mohawk Mountain,Connecticut,1600,6.478509642208569,0,0.0,0,0,0,5,0,3,8,3.258096538021482,0.0,0.9162907318741551,4.68213122712422,4.61512051684126,115.10394265232976,4.290459441148391,4.532599493153256,30.0,65.0,110.0,4.174387269895637,0
Mount Southington Ski Area,Connecticut,525,6.054439346269371,0,0.0,0,0,0,2,2,3,7,2.70805020110221,1.0986122886681098,0.26236426446749106,3.9512437185814275,3.9512437185814275,63.0,4.02535169073515,4.394449154672439,60.0,60.0,95.0,3.9512437185814275,0
Powder Ridge Park,Connecticut,720,6.311734809152915,0,0.0,0,0,0,1,2,2,5,2.995732273553991,1.6094379124341003,0.4054651081081644,4.394449154672439,4.23410650459726,80.0,4.110873864173311,4.394449154672439,45.0,55.0,100.0,3.713572066704308,0
Ski Sundown,Connecticut,1075,6.439350371100098,0,0.0,0,0,0,3,0,2,5,2.833213344056216,1.0986122886681098,0.6931471805599453,4.2626798770413155,4.2626798770413155,84.0,3.9318256327243257,3.828641396489095,62.0,62.0,95.0,4.204692619390966,0
Woodbury Ski Area,Connecticut,730,5.707110264748875,0,0.0,0,0,0,0,1,4,5,2.5649493574615367,1.0986122886681098,0.1823215567939546,3.9318256327243257,3.9318256327243257,126.0,4.060443010546419,4.2626798770413155,42.0,42.0,180.0,3.58351893845611,0
Bogus Basin,Idaho,7582,7.496097345175956,0,0.0,0,3,0,1,3,4,11,4.5217885770490405,1.3862943611198906,0.9162907318741551,7.8636512654486515,0.0,134.0,4.356708826689592,5.5254529391317835,64.0,64.0,130.0,5.111987788356544,1
Brundage Mountain Resort,Idaho,7640,7.496097345175956,0,0.0,0,1,0,4,0,1,6,3.9512437185814275,1.0986122886681098,1.4350845252893227,7.560601162768557,1.0986122886681098,126.0,4.07753744390572,5.771441123130016,70.0,70.0,120.0530035335689,0.0,1
Kelly Canyon Ski Area,Idaho,6600,6.90875477931522,0,0.0,0,0,0,0,4,2,6,3.9512437185814275,0.6931471805599453,0.8329091229351039,6.608000625296087,0.0,115.10394265232976,4.143134726391533,5.303304908059076,57.91695652173913,42.0,120.0530035335689,0.0,1
Lookout Pass Ski Area,Idaho,5650,7.048386408721883,0,0.0,0,0,0,1,3,0,4,3.58351893845611,1.0986122886681098,0.9162907318741551,6.293419278846481,0.0,113.0,4.442651256490317,5.993961427306569,44.0,47.0,140.0,0.0,2
Magic Mountain Ski Area,Idaho,7200,6.55250788703459,0,0.0,0,0,0,0,1,2,3,2.4849066497880004,0.0,0.9162907318741551,5.638354669333745,0.0,65.0,4.406719247264253,5.198497031265826,32.0,32.0,70.0,0.0,1
Pebble Creek Ski Area,Idaho,8560,7.696667081526462,0,0.0,0,0,0,3,0,0,3,4.007333185232471,1.0986122886681098,0.8329091229351039,7.00397413672268,3.4339872044851463,85.0,4.2626798770413155,5.5254529391317835,47.0,47.0,91.0,3.4339872044851463,1
Pomerelle Mountain Resort,Idaho,9000,6.90875477931522,0,0.0,0,0,0,1,1,1,3,3.2188758248682006,1.0986122886681098,0.9162907318741551,6.2166061010848646,3.9318256327243257,138.0,4.04305126783455,6.2166061010848646,57.91695652173913,47.0,138.0,4.61512051684126,1
Schweitzer,Idaho,6400,7.783640596221253,0,0.0,1,2,0,1,3,2,9,4.532599493153256,1.3862943611198906,1.1314021114911006,7.972810784121404,3.871201010907891,136.0,4.04305126783455,5.707110264748875,81.0,81.0,120.0530035335689,4.61512051684126,1
Silver Mountain,Idaho,6300,7.696667081526462,1,0.0,0,0,1,2,2,1,7,4.394449154672439,1.0986122886681098,1.252762968495368,7.3783837129967145,5.420534999272286,130.0,3.4011973816621555,5.707110264748875,57.0,62.0,193.0,3.044522437723423,1
Soldier Mountain Ski Area,Idaho,7200,7.244941546337007,0,0.0,0,0,0,0,2,1,3,3.6109179126442243,0.0,0.3364722366212129,7.04141166379481,0.0,60.0,4.276666119016055,5.707110264748875,43.0,43.0,120.0530035335689,0.0,1
Sun Valley,Idaho,9150,8.131824785007195,1,0.0,0,9,0,3,2,3,18,4.795790545596741,2.0794415416798357,1.3862943611198906,7.628031126930335,6.470799503782602,149.0,4.430816798843313,5.3981627015177525,57.91695652173913,43.0,137.0,0.0,1
Tamarack Resort,Idaho,7700,7.937731775260109,0,0.0,0,2,2,0,0,2,6,3.8918202981106265,1.3862943611198906,0.9162907318741551,6.928537818164665,5.303304908059076,115.10394265232976,2.772588722239781,5.707110264748875,71.0,71.0,150.0,0.0,1
Chestnut Mountain Resort,Illinois,1040,6.16541785423142,0,0.0,0,0,2,4,0,3,9,3.1354942159291497,1.3862943611198906,0.1823215567939546,4.941642422609304,4.941642422609304,87.0,4.110873864173311,3.9318256327243257,40.0,55.0,112.0,4.941642422609304,0
Four Lakes,Illinois,500,4.61512051684126,0,0.0,0,0,0,0,0,7,7,2.0794415416798357,0.6931471805599453,0.09531017980432493,2.302585092994046,2.302585092994046,78.0,4.07753744390572,3.2188758248682006,57.91695652173913,55.0,70.0,2.302585092994046,0
Ski Snowstar Winter Sports Park,Illinois,790,5.572154032177765,0,0.0,0,0,2,0,2,2,6,2.772588722239781,0.6931471805599453,0.5877866649021191,3.367295829986474,3.367295829986474,56.0,3.6635616461296463,3.6635616461296463,25.0,35.0,86.0,3.367295829986474,0
Villa Olivia,Illinois,500,5.198497031265826,0,0.0,0,0,1,0,0,6,7,2.0794415416798357,0.6931471805599453,0.09531017980432493,2.772588722239781,2.772588722239781,115.10394265232976,3.9889840465642745,3.258096538021482,40.0,40.0,70.0,2.772588722239781,0
Paoli Peaks,Indiana,900,5.707110264748875,0,0.0,0,1,1,3,1,2,8,2.772588722239781,1.0986122886681098,0.3364722366212129,4.189654742026425,4.189654742026425,75.0,3.7376696182833684,2.9444389791664403,38.0,45.0,80.0,4.189654742026425,0
Perfect North Slopes,Indiana,800,5.993961427306569,0,0.0,0,0,2,3,0,6,11,3.1780538303479458,1.0986122886681098,0.6931471805599453,4.61512051684126,4.61512051684126,82.0,3.6888794541139363,3.2188758248682006,52.0,52.0,90.0,4.61512051684126,0
Mt. Crescent Ski Area,Iowa,1500,5.707110264748875,0,0.0,0,0,1,0,1,0,2,2.4849066497880004,0.6931471805599453,0.1823215567939546,3.9318256327243257,3.9318256327243257,115.10394265232976,4.07753744390572,3.4339872044851463,29.0,39.0,120.0530035335689,3.9318256327243257,0
Seven Oaks,Iowa,975,5.62040086571715,0,0.0,0,0,0,2,0,2,4,2.4849066497880004,1.0986122886681098,0.6931471805599453,3.58351893845611,3.58351893845611,100.0,3.1354942159291497,3.713572066704308,40.0,40.0,100.0,3.58351893845611,0
Sundown Mountain,Iowa,1059,6.16541785423142,0,0.0,0,0,1,1,2,2,6,3.091042453358316,1.0986122886681098,0.47000362924573563,4.02535169073515,4.02535169073515,115.10394265232976,3.8501476017100584,3.828641396489095,38.0,46.0,120.0530035335689,4.02535169073515,0
Big Squaw Mountain Ski Resort,Maine,3200,6.493753839851686,0,0.0,0,0,0,1,0,0,1,3.4011973816621555,0.0,0.5877866649021191,4.61512051684126,0.0,67.0,1.9459101490553132,3.828641396489095,30.0,30.0,58.0,0.0,2
Camden Snow Bowl,Maine,1080,6.7464121285733745,0,0.0,0,0,0,1,1,1,3,3.295836866004329,1.0986122886681098,0.6931471805599453,4.61512051684126,3.8918202981106265,68.0,4.430816798843313,4.248495242049359,33.0,43.0,70.0,3.8918202981106265,0
Lost Valley,Maine,495,5.484796933490655,0,0.0,0,0,0,0,2,2,4,3.1354942159291497,1.0986122886681098,0.26236426446749106,3.828641396489095,3.828641396489095,87.0,4.07753744390572,3.9318256327243257,29.0,55.0,104.0,3.828641396489095,0
Mt. Abram Ski Resort,Maine,2250,7.048386408721883,0,0.0,0,0,0,0,2,3,5,4.007333185232471,0.6931471805599453,0.4054651081081644,6.46302945692067,5.170483995038151,120.0,4.0943445622221,4.836281906951478,29.0,49.0,120.0,0.0,0
Mt. Jefferson,Maine,753,6.07073772800249,0,0.0,0,0,0,0,0,3,3,2.3978952727983707,0.0,0.26236426446749106,2.5649493574615367,0.0,115.10394265232976,2.995732273553991,4.836281906951478,57.91695652173913,49.0,120.0530035335689,0.0,0
New Hermon Mountain,Maine,450,5.860786223465865,0,0.0,0,0,0,0,1,2,3,3.044522437723423,0.0,1.0647107369924282,4.2626798770413155,4.2626798770413155,102.0,4.02535169073515,4.51085950651685,32.0,32.0,117.0,3.828641396489095,0
Shawnee Peak,Maine,1900,7.208600337960199,0,0.0,0,0,1,2,1,2,6,3.784189633918261,1.3862943611198906,0.5877866649021191,5.480638923341991,5.459585514144159,97.0,4.406719247264253,4.709530201312334,55.0,75.0,103.0,4.709530201312334,0
Sugarloaf,Maine,4237,7.944846711001996,0,0.0,0,2,3,1,5,2,13,5.093750200806762,1.6094379124341003,1.5040773967762742,7.123672785204607,6.428105272684596,159.0,4.23410650459726,5.303304908059076,99.0,99.0,155.0,0.0,2
